Manufacturer 1,Manufacturer 2,Manufacturer 3,Manufacturer 4,Manufacturer 5,y_true,reader_score
0.57,0.75227,0.313389,0.4329,0.22,0,1
0.96,0.9999,0.672467,0.987,0.93,0,1
0.58,0.95402,0.688113,0.2891,0.51,0,1
0.07,0.56953,0.210799,0.071,0.04,0,0
0.01,0.01872,0.105309,0.0271,0.02,0,0
0.03,0.0773799999999999,0.1747429999999999,0.0407,0.03,0,0
0.92,0.99174,0.647228,0.0821,0.8,0,1
0.85,0.99578,0.6745650000000001,0.4059,0.53,1,0
0.97,0.99889,0.7974600000000001,0.9417,0.9,0,1
0.04,0.99986,0.8912059999999999,0.9985,0.95,1,1
0.35,0.25382,0.1513099999999999,0.1168,0.1,0,0
0.01,0.01197,0.156395,0.0111,0.02,0,0
0.06,0.1034599999999999,0.132271,0.006,0.13,0,0
0.89,0.9998200000000002,0.585339,0.8338,0.44,0,1
0.01,0.02444,0.136703,0.0745,0.02,0,0
0.79,0.999,0.7598560000000001,0.4735,0.59,0,1
0.91,0.99839,0.766738,0.7031000000000001,0.82,1,1
0.92,0.99994,0.721439,0.7667,0.83,0,1
0.9,0.99977,0.7181890000000001,0.7345999999999999,0.93,0,1
0.92,0.99937,0.8254940000000001,0.9649,0.89,0,1
0.02,0.38805,0.35993,0.072,0.04,0,0
0.02,0.11243,0.0892318,0.0283,0.05,0,0
0.89,0.9976,0.445207,0.6019,0.71,0,0
0.0,0.0084599999999999,0.0864269999999999,0.0112,0.01,0,0
0.01,0.01591,0.101239,0.0063,0.01,0,0
0.78,0.99894,0.448559,0.7948000000000001,0.81,1,1
0.03,0.99943,0.7355619999999999,0.9442,0.86,0,1
0.86,0.97613,0.392334,0.8937,0.71,0,0
0.9,0.99989,0.74643,0.8384999999999999,0.88,1,1
0.01,0.00902,0.0910438,0.0049,0.01,0,0
0.01,0.17854,0.244979,0.0121,0.08,0,0
0.92,0.99997,0.867359,0.8186,0.86,0,1
0.11,0.31191,0.214728,0.2775,0.11,0,0
0.87,0.99958,0.643143,0.9793,0.56,0,1
0.89,0.99974,0.6076429999999999,0.5956,0.65,0,1
0.01,0.01652,0.119175,0.0113,0.03,0,0
0.02,0.99792,0.8395220000000001,0.9909,0.87,0,1
0.89,0.99768,0.7767959999999999,0.8045,0.88,0,1
0.29,0.32418,0.149355,0.5523,0.13,0,1
0.02,0.62698,0.107866,0.0069,0.11,0,0
0.17,0.25048,0.124892,0.4623,0.26,0,0
0.13,0.8337,0.254701,0.0427,0.15,0,0
0.93,0.99919,0.394151,0.9768,0.82,0,1
0.88,0.97543,0.448538,0.3997,0.84,0,1
0.31,0.94486,0.299155,0.1163,0.09,0,0
0.03,0.02741,0.105209,0.0096,0.02,0,0
0.84,0.99987,0.6781489999999999,0.675,0.88,0,1
0.76,0.96596,0.1457659999999999,0.3240999999999999,0.59,0,1
0.1,0.04776,0.107808,0.0248,0.02,0,0
0.66,0.98353,0.568257,0.2662,0.31,0,0
0.09,0.05511,0.205757,0.0581,0.02,0,0
0.61,0.99583,0.784033,0.9536,0.68,0,1
0.99,0.99939,0.8173090000000001,0.9914,0.92,1,1
0.12,0.10712,0.244284,0.038,0.06,0,0
0.02,0.00978,0.0848448999999999,0.0021,0.04,0,0
0.01,0.12488,0.0788258,0.0255,0.02,0,0
0.95,0.99242,0.802959,0.6154,0.85,0,0
0.01,0.0256899999999999,0.148863,0.192,0.02,0,0
0.66,0.99863,0.588963,0.7484000000000001,0.84,0,1
0.02,0.00837,0.130573,0.0163,0.01,0,0
0.95,0.9992,0.774311,0.9908,0.94,1,1
0.95,0.99559,0.360028,0.9345,0.81,1,1
0.66,0.30861,0.151145,0.1368,0.03,0,0
0.03,0.01226,0.0710083,0.0062,0.03,0,0
0.0,0.43388,0.2921289999999999,0.0067,0.01,0,0
0.65,0.94528,0.147638,0.3824,0.08,0,1
0.68,0.99912,0.692878,0.3247,0.4,0,1
0.99,0.99994,0.926599,0.9787,0.86,1,1
0.93,0.94345,0.337798,0.7983,0.63,1,0
0.04,0.99935,0.635904,0.8043,0.81,0,1
0.97,0.99996,0.809066,0.972,0.86,1,1
0.01,0.0127,0.109529,0.0032,0.02,0,0
0.69,0.99766,0.390938,0.9351,0.39,0,1
0.72,0.98986,0.425177,0.4044,0.58,0,1
0.08,0.5264899999999999,0.183945,0.0181,0.13,0,0
0.95,0.99085,0.786108,0.8598,0.59,1,1
0.37,0.9899,0.422901,0.1639,0.18,0,0
0.65,0.99832,0.797666,0.9142,0.79,0,1
0.14,0.95251,0.160152,0.2947,0.26,0,0
0.01,0.05371,0.179336,0.0076,0.11,0,0
0.05,0.04194,0.0983409,0.0842,0.02,0,0
0.66,0.96863,0.401733,0.3532,0.3,0,1
0.89,0.98454,0.654335,0.9871,0.55,0,0
0.54,0.99893,0.6741010000000001,0.2716,0.5,0,1
0.0,0.00955,0.0638794,0.0005,0.01,0,0
0.01,0.02102,0.102434,0.0192,0.07,0,0
0.01,0.29104,0.126379,0.0941,0.02,0,0
0.52,0.99612,0.258746,0.5624,0.71,0,0
0.01,0.99985,0.811816,0.4492,0.77,0,1
0.01,0.00864,0.0813858,0.0025,0.02,0,0
0.47,0.99919,0.611004,0.3847,0.77,0,0
0.01,0.01517,0.161502,0.0128,0.02,0,1
0.01,0.0072599999999999,0.0824688,0.01,0.01,0,0
0.79,0.70033,0.563357,0.9924,0.76,0,0
0.88,0.97859,0.7778489999999999,0.8541,0.78,0,1
0.99,0.99551,0.82831,0.9986,0.96,0,1
0.01,0.01513,0.13003,0.1114,0.01,0,0
0.31,0.96499,0.215136,0.4811,0.21,0,0
0.01,0.01167,0.119112,0.0051,0.05,0,0
0.28,0.96979,0.499995,0.6267,0.66,0,0
0.05,0.4114899999999999,0.135049,0.003,0.03,0,0
0.96,0.99995,0.8572150000000001,0.9886,0.92,0,1
0.02,0.00459,0.079113,0.0252,0.08,0,0
0.02,0.73563,0.174833,0.0261,0.04,0,0
0.02,0.1718499999999999,0.172871,0.0129,0.11,0,0
0.04,0.01087,0.0703263,0.0277,0.02,0,0
0.98,1.0,0.919941,0.9955,0.91,1,1
0.92,0.98289,0.7867430000000001,0.4305,0.45,0,0
0.67,0.92611,0.328958,0.7939,0.71,1,0
0.98,0.99989,0.819823,0.991,0.89,0,1
0.05,0.0058099999999999,0.134224,0.0061,0.03,0,0
0.01,0.06385,0.1199079999999999,0.0265,0.01,0,0
0.0,0.00619,0.0848049999999999,0.0913,0.02,0,0
0.02,0.08435,0.18017,0.0722,0.02,0,0
0.04,0.14444,0.2180239999999999,0.0029,0.02,0,0
0.02,0.72482,0.190761,0.0941,0.02,0,0
0.03,0.7487999999999999,0.250053,0.1761,0.17,0,0
0.79,0.9353200000000002,0.301858,0.2426,0.36,0,1
0.03,0.8062999999999999,0.110549,0.0039,0.02,0,0
0.35,0.76947,0.153366,0.256,0.14,0,1
0.87,1.0,0.690796,0.9497,0.91,0,1
0.84,0.99991,0.649724,0.6998000000000001,0.86,0,1
0.8,0.9962,0.618085,0.5204,0.2,0,0
0.15,0.12049,0.105182,0.0111,0.05,0,0
0.01,0.04675,0.0994235,0.0162,0.01,0,0
0.87,0.999,0.664072,0.6004,0.84,0,1
0.01,0.08281,0.128883,0.0331,0.03,0,0
0.02,0.06324,0.110121,0.2247,0.02,0,0
0.03,0.46788,0.0986582,0.0177,0.02,0,0
0.96,0.99567,0.8674229999999999,0.9967,0.92,0,1
0.91,0.99997,0.808415,0.8131999999999999,0.86,0,1
0.02,0.00593,0.1426589999999999,0.1298,0.02,0,0
0.95,0.99887,0.8543540000000001,0.9791,0.89,0,1
0.01,0.02287,0.1100059999999999,0.0544,0.02,0,0
0.02,0.04508,0.119838,0.0536,0.02,0,0
0.03,0.2567199999999999,0.13582,0.0744,0.02,0,0
0.01,0.0304,0.100537,0.01,0.02,0,0
0.53,0.42772,0.1466609999999999,0.0017,0.04,0,0
0.92,0.99508,0.740204,0.9779,0.84,1,1
0.89,0.99936,0.8711030000000001,0.9327,0.48,1,1
0.99,0.9998200000000002,0.773066,0.9335,0.87,0,1
0.02,0.5482,0.129518,0.1164,0.02,0,0
0.61,0.99973,0.385933,0.6317,0.77,0,1
0.64,0.8861399999999999,0.603167,0.3984,0.84,0,1
0.79,0.99979,0.669192,0.8839,0.64,0,1
0.03,0.6457600000000001,0.162157,0.025,0.03,0,0
0.03,0.02664,0.0736838,0.0555,0.02,0,0
0.61,0.8643899999999999,0.323538,0.2386,0.5,0,1
0.02,0.02057,0.141757,0.0101,0.02,0,0
0.69,0.9987,0.5367999999999999,0.2637,0.3,0,1
0.94,0.99922,0.59495,0.9811,0.87,0,1
0.68,0.99592,0.463959,0.6026,0.83,0,0
0.01,0.03738,0.133737,0.0108,0.01,0,0
0.97,0.99986,0.7649039999999999,0.9566,0.89,1,1
0.94,0.99998,0.7541,0.9927,0.95,0,1
0.96,0.99513,0.7172339999999999,0.997,0.92,1,1
0.29,0.8146,0.206035,0.1598,0.75,0,0
0.82,0.9999,0.416902,0.9875,0.86,0,1
0.02,0.22109,0.1489299999999999,0.0119,0.02,0,0
0.87,0.99951,0.4579859999999999,0.551,0.47,0,1
0.51,0.08852,0.44679,0.4805,0.52,0,1
0.45,0.93524,0.486397,0.7464,0.58,0,1
0.01,0.03075,0.174008,0.0054,0.01,0,0
0.02,0.03387,0.2242429999999999,0.0758,0.02,0,0
0.18,0.05755,0.30787,0.3221,0.49,1,1
0.37,0.43948,0.436011,0.3038,0.1,0,0
0.8,0.97875,0.5579649999999999,0.0791,0.46,0,0
0.73,0.9989,0.578152,0.9775,0.8,0,1
0.05,0.42261,0.244757,0.0157,0.32,0,0
0.9,0.99952,0.514371,0.5496,0.91,1,1
0.02,0.02169,0.214664,0.0184,0.08,0,0
0.03,0.19513,0.29438,0.0023,0.05,0,0
0.96,0.98917,0.768788,0.0926,0.61,1,1
0.83,0.57693,0.240205,0.9108,0.36,0,1
0.01,0.00647,0.0810769,0.043,0.01,0,0
0.01,0.01158,0.0970611,0.0085,0.01,0,0
0.97,0.99994,0.7885120000000001,0.9703,0.86,1,1
0.86,0.99984,0.565289,0.9409,0.86,0,1
0.96,0.9999,0.942756,0.7739,0.84,0,1
0.68,0.99766,0.63094,0.5614,0.58,0,1
0.16,0.26662,0.177226,0.0525,0.02,0,0
0.91,0.99996,0.713002,0.8519,0.94,0,1
0.01,0.05057,0.0917633,0.0053,0.03,0,0
0.01,0.05007,0.151728,0.0075,0.02,0,0
0.01,0.16224,0.113894,0.0179,0.02,0,0
0.3,0.92952,0.251233,0.3536,0.36,0,0
0.91,0.99958,0.6586350000000001,0.9801,0.91,0,1
0.01,0.20517,0.150652,0.0343,0.02,0,0
0.01,0.09543,0.188373,0.0798,0.02,0,0
0.81,0.99765,0.6576730000000001,0.7827,0.4,0,1
0.13,0.75716,0.358731,0.0025,0.33,0,0
0.96,0.98559,0.731537,0.0679,0.78,1,1
0.57,0.86182,0.203544,0.8896999999999999,0.76,1,1
0.03,0.00598,0.065805,0.0089,0.03,0,0
0.5,0.99895,0.471793,0.5418999999999999,0.74,0,1
0.01,0.03535,0.0710222,0.0102,0.02,0,0
0.04,0.00757,0.11761,0.0088,0.02,0,0
0.02,0.08263,0.151767,0.0214,0.02,0,0
0.1,0.10223,0.140817,0.0346,0.03,0,0
0.81,0.97194,0.501101,0.0564,0.36,0,0
0.03,0.13823,0.1241829999999999,0.0299,0.03,0,0
0.54,0.91622,0.385621,0.0111,0.1,0,0
0.93,0.99952,0.633827,0.9528,0.88,1,1
0.02,0.57636,0.140656,0.0146,0.02,0,0
0.8,0.99867,0.5380060000000001,0.6548999999999999,0.73,0,1
0.06,0.56301,0.227247,0.0027,0.07,0,1
0.89,0.99605,0.603888,0.9918,0.75,0,1
0.67,0.96881,0.421284,0.2651,0.73,0,1
0.94,0.9997,0.781725,0.9477,0.85,0,1
0.17,0.04274,0.0942151,0.0198,0.09,0,0
0.06,0.02951,0.0951311,0.0457,0.04,0,0
1.0,0.99999,0.911752,0.9808,0.94,0,1
0.02,0.31261,0.163019,0.1466,0.05,0,0
0.84,0.99919,0.661801,0.845,0.84,0,1
0.03,0.96983,0.508089,0.2673,0.57,0,1
0.01,0.00654,0.0921747,0.0041,0.05,0,0
0.02,0.28454,0.253285,0.0017,0.15,0,0
0.99,0.99988,0.762957,0.9971,0.94,1,1
0.01,0.00921,0.129753,0.0142,0.02,0,0
0.01,0.01179,0.107639,0.0039,0.01,0,0
0.03,0.00473,0.114525,0.0415,0.03,0,0
0.01,0.67616,0.252664,0.0689,0.08,0,0
0.04,0.06559,0.0964388,0.0356,0.02,0,1
0.63,0.97733,0.569517,0.215,0.38,0,0
0.04,0.13422,0.131555,0.1161,0.03,0,0
0.53,0.95917,0.132555,0.5655,0.48,0,1
0.78,0.98955,0.6567029999999999,0.335,0.38,0,1
0.28,0.93401,0.394356,0.2147,0.37,0,1
0.91,0.99878,0.740839,0.5573,0.78,0,1
0.04,0.05846,0.224967,0.0014,0.01,0,0
0.89,0.91337,0.314489,0.7423000000000001,0.36,1,1
0.01,0.10642,0.140702,0.0364,0.02,0,0
0.01,0.0059,0.0566367,0.0416,0.02,0,0
0.02,0.96936,0.19879,0.2706,0.29,0,0
0.02,0.82273,0.445358,0.1151,0.09,0,0
0.01,0.02274,0.178351,0.0885,0.01,0,0
0.37,0.78232,0.336777,0.772,0.8,0,0
0.97,0.99999,0.8548739999999999,0.9952,0.94,1,1
0.68,0.99952,0.393344,0.8515999999999999,0.84,0,1
0.99,0.99934,0.7888270000000001,0.9986,0.95,1,1
0.02,0.01546,0.143232,0.0049,0.02,0,0
0.01,0.01641,0.126493,0.0152,0.01,0,0
0.91,0.99985,0.800158,0.9844,0.91,1,1
0.99,0.99997,0.8826090000000001,0.9782,0.92,1,1
0.07,0.6634699999999999,0.268135,0.0266,0.08,0,1
0.27,0.7287,0.117237,0.2404,0.1,0,1
0.98,0.99996,0.7509669999999999,0.9888,0.88,1,1
0.74,0.93709,0.245006,0.1252,0.4,0,1
0.51,0.96541,0.640411,0.9913,0.88,1,1
0.61,0.99191,0.3386409999999999,0.0652,0.45,0,1
0.19,0.8575,0.209968,0.0048,0.09,0,0
0.15,0.71331,0.398778,0.1024,0.21,0,0
0.86,0.99963,0.856058,0.9551,0.87,0,1
0.54,0.99925,0.682632,0.8618000000000001,0.69,0,0
0.02,0.0717899999999999,0.163482,0.0104,0.02,0,0
0.02,0.37645,0.259533,0.0093,0.04,0,0
0.07,0.5753199999999999,0.111669,0.0021,0.02,0,0
0.01,0.1018799999999999,0.137809,0.0046999999999999,0.01,0,0
0.08,0.8496299999999999,0.297446,0.0197,0.16,0,0
0.97,0.99992,0.8195319999999999,0.9978,0.94,1,1
0.02,0.01252,0.122556,0.0068,0.01,0,0
0.97,0.99997,0.881819,0.9959,0.95,0,1
0.94,0.95707,0.258511,0.0713999999999999,0.45,0,0
0.93,0.99976,0.7490340000000001,0.7237,0.83,0,1
0.23,0.99222,0.54348,0.0493,0.03,0,0
0.85,0.99901,0.6658930000000001,0.3288,0.69,0,0
0.82,0.99991,0.783459,0.5138,0.83,1,0
0.76,0.99327,0.354373,0.9607,0.66,0,0
0.69,0.99723,0.583148,0.8778,0.65,0,1
0.01,0.02439,0.139975,0.0661,0.02,0,0
0.88,0.9998200000000002,0.633034,0.8543000000000001,0.74,0,1
0.73,0.99992,0.539067,0.3807,0.8,0,1
0.23,0.95397,0.112961,0.4866,0.15,0,1
0.78,0.99704,0.620636,0.9628,0.77,0,1
0.78,0.94964,0.1557,0.0941,0.16,0,0
0.98,0.99999,0.8259200000000001,0.9601,0.95,1,1
0.46,0.9757,0.354332,0.3557,0.25,0,1
0.81,0.90941,0.5417219999999999,0.9077,0.43,0,1
0.01,0.0874,0.1426079999999999,0.0016,0.02,0,0
0.97,0.99973,0.7111649999999999,0.9391,0.94,1,1
0.97,0.99346,0.8528450000000001,0.9798,0.78,0,1
0.75,0.98151,0.686032,0.3329,0.71,0,1
0.67,0.9925,0.2210239999999999,0.2877,0.32,0,0
0.13,0.89089,0.269858,0.0852,0.26,0,0
0.02,0.0065599999999999,0.0952796,0.0475,0.02,0,0
0.3,0.05417,0.0981421,0.0073,0.04,0,0
0.81,0.9998200000000002,0.47602,0.4462,0.81,0,1
0.02,0.05866,0.202446,0.1258,0.21,0,0
0.0,0.0051,0.058322,0.0054,0.01,0,0
0.94,0.99912,0.7327330000000001,0.8478,0.84,0,1
0.9,0.99994,0.527365,0.6201,0.66,0,1
0.01,0.187,0.151972,0.0053,0.09,0,0
0.09,0.83955,0.494128,0.0947,0.25,0,0
0.04,0.9995,0.6773659999999999,0.3781000000000001,0.48,0,1
0.01,0.01379,0.115754,0.0165,0.01,0,0
0.08,0.00604,0.1089619999999999,0.0266,0.07,0,0
0.02,0.09175,0.152452,0.0081999999999999,0.07,0,0
0.01,0.27495,0.165577,0.1255,0.02,0,0
0.16,0.58508,0.4028469999999999,0.1079,0.18,0,0
0.01,0.99983,0.707608,0.9894,0.95,0,1
0.95,0.99973,0.84286,0.9835,0.88,0,1
0.33,0.98383,0.141338,0.2458,0.39,0,0
0.92,0.99742,0.6948059999999999,0.5347,0.84,0,1
0.01,0.00601,0.0761153,0.0305,0.02,0,0
0.02,0.00987,0.269898,0.034,0.24,0,0
0.5,0.97405,0.285068,0.4468,0.52,0,1
0.01,0.08261,0.0949692,0.0011,0.01,0,0
0.03,0.07145,0.1454869999999999,0.0113,0.04,0,0
0.74,0.99831,0.44044,0.347,0.45,0,0
0.01,0.4917100000000001,0.1656119999999999,0.0127,0.05,0,0
0.01,0.06625,0.105191,0.0312,0.15,0,0
0.01,0.01262,0.0657148999999999,0.0228,0.01,0,0
0.11,0.56806,0.138514,0.0157,0.17,0,0
0.03,0.03222,0.0942044,0.0129,0.02,0,0
0.88,0.99629,0.813132,0.9803,0.8,0,1
0.94,0.99993,0.7767820000000001,0.9781,0.94,1,1
0.15,0.89166,0.228971,0.713,0.63,0,0
0.01,0.03427,0.321577,0.0106,0.07,0,0
0.94,0.99903,0.703331,0.9956,0.95,1,1
0.85,0.09232,0.0986809,0.0065,0.01,0,0
0.05,0.1411,0.17832,0.0339,0.14,0,0
0.84,0.99846,0.728193,0.9894,0.95,1,1
0.95,0.46556,0.670814,0.1869,0.35,0,0
0.89,0.99994,0.704216,0.8629000000000001,0.85,0,1
0.79,0.9878,0.7075600000000001,0.7896,0.7,0,1
0.01,0.02685,0.127881,0.0008,0.02,0,1
0.01,0.01862,0.145792,0.0308,0.01,0,0
0.81,0.99834,0.658108,0.9457,0.84,0,1
0.01,0.03373,0.0676777,0.0058,0.01,0,0
0.97,0.99981,0.910978,0.9013,0.84,0,1
0.01,0.28124,0.2187489999999999,0.0043,0.12,0,0
0.74,0.98391,0.4684319999999999,0.3938,0.62,0,1
0.01,0.01766,0.136107,0.0055,0.01,0,0
0.01,0.00936,0.2400429999999999,0.0568,0.01,0,0
0.91,0.9975299999999998,0.594665,0.9725,0.85,0,1
0.62,0.99285,0.563415,0.426,0.38,0,0
0.96,0.99983,0.6504939999999999,0.8946999999999999,0.9,0,1
0.02,0.03899,0.0885093,0.0107,0.01,0,0
0.92,0.99998,0.7792520000000001,0.6254,0.9,1,1
0.97,0.99933,0.779571,0.998,0.94,0,1
0.33,0.6755599999999999,0.198846,0.0836,0.07,0,1
0.86,0.99885,0.6889379999999999,0.3306,0.82,0,1
0.91,0.99984,0.801845,0.9708,0.92,1,1
0.88,0.99626,0.7169589999999999,0.4663000000000001,0.8,0,1
0.05,0.213,0.0886168,0.0105,0.02,0,0
0.09,0.6199100000000001,0.23888,0.0272,0.15,0,1
0.97,0.99983,0.681417,0.6948000000000001,0.81,0,1
0.86,0.99542,0.7053870000000001,0.8776999999999999,0.85,1,1
0.15,0.12624,0.381564,0.0081,0.06,0,0
0.9,0.99986,0.7815219999999999,0.7498,0.86,0,1
0.05,0.72572,0.188237,0.3207,0.09,0,0
0.02,0.02769,0.130853,0.083,0.04,0,0
0.01,0.01517,0.0885722999999999,0.0029,0.02,0,0
0.99,0.99999,0.806186,0.9996,0.96,1,1
0.78,0.99655,0.769153,0.8108,0.42,0,1
0.03,0.02524,0.104755,0.0077,0.02,0,0
0.03,0.02919,0.188941,0.0066,0.04,0,0
0.05,0.31795,0.154589,0.1843,0.04,0,0
0.03,0.0839299999999999,0.115795,0.0043,0.03,0,0
0.83,0.9991,0.413287,0.6271,0.73,0,0
0.83,0.99429,0.7282259999999999,0.5448,0.14,0,1
0.01,0.00915,0.0722381,0.0332,0.01,0,0
0.17,0.02872,0.287519,0.095,0.16,0,1
0.03,0.22687,0.096387,0.0138,0.18,0,0
0.94,0.99995,0.691018,0.8537,0.7,0,1
0.92,0.99969,0.659522,0.8603000000000001,0.74,0,1
0.19,0.9488,0.4159479999999999,0.0088,0.21,0,0
0.01,0.04483,0.1712109999999999,0.0877999999999999,0.02,0,0
0.05,0.79097,0.217094,0.2487,0.06,0,0
0.11,0.95121,0.251395,0.7440000000000001,0.51,0,1
0.03,0.0174199999999999,0.081505,0.0465,0.02,0,0
0.01,0.05027,0.100407,0.0112,0.02,0,0
0.44,0.98365,0.0783605,0.0667,0.53,0,0
0.81,0.7480100000000001,0.330463,0.8078,0.32,0,1
0.03,0.6463300000000001,0.195105,0.0378,0.1,0,0
0.83,0.99888,0.682542,0.9606,0.76,0,1
0.98,0.99999,0.8732059999999999,0.9841,0.92,1,1
0.03,0.02464,0.0865373,0.0664,0.1,0,1
0.96,0.99678,0.849958,0.9886,0.9,0,1
0.94,0.9997,0.653728,0.9809,0.82,0,1
0.99,0.99997,0.931606,0.9963,0.96,1,1
0.89,0.99713,0.4976779999999999,0.9027,0.75,0,1
0.03,0.0116599999999999,0.119043,0.0013,0.06,1,0
0.01,0.02514,0.155919,0.0141,0.03,0,0
0.05,0.5602699999999999,0.179831,0.0241,0.16,0,0
0.02,0.41547,0.191822,0.0254,0.02,0,0
0.97,0.99995,0.743846,0.9965,0.95,1,1
0.03,0.01385,0.143636,0.1985,0.01,0,0
0.52,0.25735,0.136105,0.0652,0.56,1,0
0.79,0.99805,0.7709239999999999,0.9298,0.89,0,1
0.01,0.08326,0.128419,0.0754,0.02,0,0
0.93,0.99076,0.912324,0.3703,0.36,0,1
0.03,0.03748,0.116089,0.0543,0.02,0,0
0.96,0.99981,0.8647499999999999,0.6327,0.83,0,0
0.01,0.07919,0.15081,0.0115,0.02,0,0
0.77,0.98926,0.509484,0.2003,0.39,0,1
0.01,0.0823899999999999,0.16125,0.0061,0.02,0,0
0.99,0.99997,0.841816,0.957,0.88,1,1
0.27,0.0151,0.0651481,0.0006,0.04,0,0
0.01,0.0076099999999999,0.0934293,0.0132,0.02,0,0
0.28,0.57886,0.175334,0.1099,0.24,0,0
0.65,0.98215,0.344537,0.6255,0.36,0,1
0.01,0.04555,0.113679,0.0147,0.05,0,0
0.68,0.99913,0.587483,0.6082,0.74,0,1
0.01,0.56933,0.151335,0.0198,0.02,0,0
0.34,0.99823,0.289986,0.2132,0.22,0,1
0.04,0.01117,0.111441,0.0183,0.02,0,0
0.85,0.99948,0.699976,0.6589,0.78,0,1
0.01,0.0414199999999999,0.0797503999999999,0.0112,0.01,0,0
0.83,0.99176,0.512798,0.0177,0.3,0,0
0.82,0.99994,0.769296,0.1214,0.81,0,1
0.83,0.99992,0.457413,0.6683,0.93,0,1
0.02,0.0063,0.0894687,0.0093,0.01,0,0
0.9,0.99993,0.832414,0.937,0.88,1,1
0.92,0.9992,0.7355370000000001,0.9358,0.93,1,1
0.02,0.20092,0.10198,0.0059,0.02,0,0
0.95,0.99944,0.7428149999999999,0.9845,0.87,0,1
0.04,0.7661600000000001,0.1295349999999999,0.0647,0.11,0,1
0.97,0.99992,0.775946,0.9152,0.94,0,1
0.4,0.73001,0.183135,0.0588,0.07,0,0
0.47,0.14125,0.102869,0.4109,0.12,0,0
0.01,0.01856,0.192374,0.0211,0.01,0,0
0.1,0.44934,0.463073,0.0015,0.16,0,0
0.01,0.18124,0.2610389999999999,0.0055,0.08,0,0
0.01,0.05026,0.109719,0.0112,0.02,0,0
0.02,0.0597,0.15581,0.0252,0.13,0,0
0.93,0.99999,0.846662,0.4761,0.89,0,1
0.01,0.01024,0.0737613999999999,0.0081,0.02,0,0
0.22,0.9741,0.1714709999999999,0.1389,0.63,0,1
0.01,0.00814,0.106474,0.0085,0.02,0,0
0.99,0.99999,0.793892,0.9744,0.96,1,1
0.21,0.00813,0.084535,0.0112,0.02,0,0
0.86,0.99921,0.639674,0.7978000000000001,0.86,0,1
0.08,0.6494,0.175865,0.0011,0.19,0,0
0.97,0.9998,0.8772570000000001,0.9776,0.89,1,1
0.58,0.99993,0.625516,0.98,0.82,0,1
0.01,0.0072699999999999,0.0683633,0.0026,0.02,0,0
0.7,0.99783,0.556716,0.695,0.71,0,0
0.99,1.0,0.8073739999999999,0.9792,0.96,1,1
0.41,0.9674,0.468679,0.19,0.35,0,0
0.9,0.99953,0.802488,0.9719,0.77,0,1
0.88,0.9999,0.709188,0.721,0.78,0,1
0.92,0.99988,0.806242,0.1979,0.87,0,1
0.99,0.99974,0.765338,0.9989,0.94,0,1
0.54,0.1366599999999999,0.227865,0.0364,0.08,0,0
0.97,0.99983,0.7426470000000001,0.984,0.89,1,1
0.99,0.99998,0.8444759999999999,0.973,0.93,1,1
0.04,0.7240100000000002,0.372699,0.0695,0.22,0,0
0.25,0.96676,0.429885,0.0537,0.27,0,0
0.87,0.99988,0.559131,0.7031999999999999,0.85,0,1
0.01,0.20632,0.192865,0.011,0.02,0,0
0.83,0.99755,0.568891,0.8066,0.63,0,1
0.0,0.00554,0.10786,0.2327,0.02,0,0
0.34,0.55312,0.4104489999999999,0.5283,0.12,0,0
0.04,0.00576,0.0769067,0.0109,0.01,0,0
0.81,0.9942,0.711198,0.1562,0.64,0,0
0.01,0.02344,0.120638,0.0121,0.02,0,0
0.89,0.93926,0.650123,0.5871999999999999,0.86,1,1
0.01,0.531,0.274337,0.0002,0.03,0,0
0.64,0.99162,0.7291030000000001,0.5885,0.34,0,1
0.03,0.10622,0.220656,0.1381,0.04,0,0
0.8,0.99986,0.79,0.3682,0.78,0,1
0.04,0.9992,0.741747,0.6579999999999999,0.85,0,1
0.04,0.93235,0.1274799999999999,0.0216,0.02,0,0
0.64,0.76067,0.19672,0.0081999999999999,0.29,0,1
0.88,0.99597,0.390916,0.9829,0.69,0,1
0.86,0.99928,0.573133,0.9577,0.87,0,1
0.97,0.99988,0.579743,0.9831,0.94,1,0
0.5,0.9955,0.586562,0.6281,0.49,0,1
0.04,0.27601,0.0807773999999999,0.0226,0.04,0,0
0.27,0.66752,0.138685,0.1894,0.28,0,0
0.95,0.99981,0.7324240000000001,0.9937,0.94,1,1
0.02,0.99947,0.612892,0.997,0.94,1,1
0.95,0.96109,0.493641,0.9797,0.62,0,1
0.33,0.11367,0.290384,0.0123,0.04,0,0
0.01,0.0175,0.1097619999999999,0.032,0.1,0,0
